%TITLE%
 KHUM   240728/1900

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
 566.22,    4901.91,      -1.06,      -3.39,     189.08,      22.17
 564.34,    4928.43,      -1.18,      -3.10,     188.23,      22.95
 562.45,    4955.24,      -1.38,      -3.29,     187.80,      23.60
 560.46,    4983.56,      -1.24,      -4.43,     187.76,      24.27
 558.44,    5012.36,      -1.34,      -4.56,     187.82,      25.22
 556.47,    5040.55,      -1.54,      -4.52,     186.76,      25.67
 554.49,    5068.92,      -1.73,      -4.55,     185.52,      26.48
 552.55,    5096.88,      -1.86,      -4.64,     183.99,      27.70
 550.58,    5125.31,      -1.96,      -5.05,     182.61,      28.77
 548.68,    5152.79,      -1.87,      -5.30,     181.56,      29.93
 546.80,    5180.19,      -1.86,      -5.52,     180.94,      30.77
 544.86,    5208.49,      -2.01,      -5.56,     180.10,      31.22
 542.94,    5236.51,      -2.23,      -5.61,     179.30,      31.56
 541.06,    5264.08,      -2.35,      -5.74,     179.04,      32.36
 539.17,    5291.90,      -2.44,      -6.34,     179.32,      32.82
 537.26,    5320.04,      -2.54,      -6.52,     180.08,      33.82
 535.28,    5349.42,      -2.58,      -6.89,     180.49,      34.95
 533.25,    5379.51,      -2.77,      -6.97,     180.42,      35.63
 531.20,    5410.21,      -2.83,      -7.19,     179.83,      36.14
 529.15,    5440.75,      -3.00,      -7.22,     178.91,      36.02
 527.10,    5471.63,      -3.34,      -7.32,     177.99,      35.73
 525.05,    5502.37,      -3.59,      -7.49,     177.20,      35.63
 523.05,    5532.64,      -3.85,      -7.57,     176.79,      35.57
 521.09,    5562.20,      -4.08,      -7.52,     176.42,      35.26
 519.12,    5592.13,      -4.38,      -7.59,     176.97,      35.68
 517.01,    5624.24,      -4.68,      -7.40,     176.59,      35.03
 514.79,    5658.11,      -5.02,      -7.57,     175.56,      34.56
 512.64,    5691.07,      -5.35,      -7.61,     175.03,      34.49
 510.59,    5722.41,      -5.54,      -7.38,     172.79,      33.93
 508.59,    5753.28,      -5.74,      -7.17,     171.55,      33.58
 506.63,    5783.60,      -6.09,      -7.53,     170.77,      32.99
 504.78,    5812.27,      -6.36,      -7.29,     169.42,      32.69
 503.14,    5837.78,      -6.45,      -7.22,     168.86,      32.26
 501.59,    5861.87,      -6.55,      -7.31,     168.87,      32.53
 500.05,    5885.93,      -6.77,      -7.26,     169.01,      32.86
 498.53,    5909.67,      -6.90,      -7.78,     169.09,      32.99
 497.04,    5933.03,      -6.96,      -8.20,     169.44,      33.21
 495.57,    5956.27,      -7.07,      -8.59,     169.46,      33.24
 494.07,    5979.88,      -7.24,      -9.21,     169.42,      33.35
 492.57,    6003.53,      -7.28,      -9.16,     169.42,      33.16
 491.09,    6027.11,      -7.60,      -9.13,     169.36,      32.99
 489.62,    6050.37,      -7.73,      -8.68,     169.26,      32.99
 488.20,    6072.98,      -7.83,      -8.91,     169.43,      32.85
 486.82,    6095.02,      -7.99,      -9.36,     170.76,      33.17
 485.43,    6117.33,      -8.03,     -10.93,     172.32,      33.33
