Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]	Hu5 [%]	T Molybdenum [°C]
74:12.3     	13:03:37.3         	-54.02	15.87  	-48.95
74:13.2     	13:03:38.2         	-54.02	15.52  	-49.09
74:14.1     	13:03:39.1         	-54.06	15.42  	-49.04
74:15.0     	13:03:40.0         	-54.10	15.66  	-48.82
74:15.9     	13:03:40.9         	-54.15	16.20  	-48.52
74:16.7     	13:03:41.7         	-54.16	16.81  	-48.35
74:17.6     	13:03:42.6         	-54.18	17.20  	-48.17
74:18.5     	13:03:43.5         	-54.19	17.60  	-48.00
74:19.4     	13:03:44.4         	-54.20	17.95  	-47.94
74:20.3     	13:03:45.3         	-54.23	18.14  	-47.83
74:21.2     	13:03:46.2         	-54.22	18.35  	-47.68
74:22.1     	13:03:47.1         	-54.22	18.65  	-47.70
74:23.0     	13:03:48.0         	-54.23	18.61  	-47.67
74:23.9     	13:03:48.9         	-54.25	18.68  	-47.80
74:24.8     	13:03:49.8         	-54.26	18.39  	-48.13
74:25.7     	13:03:50.7         	-54.24	17.65  	-48.49
74:26.6     	13:03:51.6         	-54.23	16.98  	-48.68
74:27.5     	13:03:52.5         	-54.24	16.69  	-48.79
74:28.4     	13:03:53.4         	-54.28	16.65  	-48.72
74:29.3     	13:03:54.3         	-54.31	16.95  	-48.47
74:30.2     	13:03:55.2         	-54.32	17.51  	-48.39
74:31.1     	13:03:56.1         	-54.35	17.73  	-48.39
74:32.0     	13:03:57.0         	-54.35	17.73  	-48.52
74:32.8     	13:03:57.8         	-54.35	17.49  	-48.59
74:33.7     	13:03:58.7         	-54.37	17.42  	-48.67
74:34.7     	13:03:59.7         	-54.39	17.35  	-48.61
74:35.5     	13:04:00.5         	-54.41	17.54  	-48.59
74:36.4     	13:04:01.4         	-54.42	17.67  	-48.44
74:37.3     	13:04:02.3         	-54.44	18.04  	-48.41
74:38.2     	13:04:03.2         	-54.44	18.11  	-48.42
74:39.2     	13:04:04.2         	-54.42	18.01  	-48.60
74:40.1     	13:04:05.1         	-54.40	17.60  	-48.84
74:41.0     	13:04:06.0         	-54.41	17.15  	-48.98
74:41.9     	13:04:06.9         	-54.44	16.98  	-49.09
74:42.8     	13:04:07.8         	-54.46	16.83  	-49.19
74:43.6     	13:04:08.6         	-54.47	16.76  	-49.16
74:44.5     	13:04:09.5         	-54.53	17.06  	-48.91
74:45.4     	13:04:10.4         	-54.57	17.74  	-48.61
74:46.3     	13:04:11.3         	-54.60	18.45  	-48.50
74:47.2     	13:04:12.2         	-54.61	18.70  	-48.59
74:48.1     	13:04:13.1         	-54.59	18.50  	-48.79
74:49.0     	13:04:14.0         	-54.62	18.24  	-48.75
74:49.9     	13:04:14.9         	-54.63	18.47  	-48.48
74:50.8     	13:04:15.8         	-54.62	19.07  	-48.49
74:51.6     	13:04:16.6         	-54.57	19.00  	-48.56
74:52.5     	13:04:17.5         	-54.45	18.75  	-48.76
74:53.5     	13:04:18.5         	-54.45	18.32  	-48.91
74:54.4     	13:04:19.4         	-54.43	18.11  	-49.01
74:55.3     	13:04:20.3         	-54.45	18.07  	-48.89
74:56.2     	13:04:21.2         	-54.46	18.48  	-48.65
74:57.1     	13:04:22.1         	-54.48	19.15  	-48.34
74:58.0     	13:04:23.0         	-54.49	19.96  	-48.00
74:58.9     	13:04:23.9         	-54.46	20.64  	-48.02
74:59.8     	13:04:24.8         	-54.41	20.45  	-48.22
75:00.6     	13:04:25.6         	-54.34	19.87  	-48.45
75:01.5     	13:04:26.5         	-54.30	19.32  	-48.67
75:02.5     	13:04:27.5         	-54.29	18.94  	-48.53
75:03.3     	13:04:28.3         	-54.34	19.45  	-48.20
75:04.2     	13:04:29.2         	-54.38	20.35  	-47.85
75:05.1     	13:04:30.1         	-54.40	21.22  	-47.69
75:06.0     	13:04:31.0         	-54.40	21.59  	-47.55
75:07.0     	13:04:32.0         	-54.39	21.88  	-47.48
75:07.9     	13:04:32.9         	-54.41	22.06  	-47.40
75:08.7     	13:04:33.7         	-54.43	22.32  	-47.23
75:09.7     	13:04:34.7         	-54.47	22.80  	-47.24
75:10.6     	13:04:35.6         	-54.51	22.82  	-47.32
75:11.4     	13:04:36.4         	-54.50	22.45  	-47.63
75:12.3     	13:04:37.3         	-54.45	21.56  	-47.81
75:13.2     	13:04:38.2         	-54.42	21.06  	-47.94
75:14.1     	13:04:39.1         	-54.42	20.84  	-47.82
75:15.0     	13:04:40.0         	-54.42	21.20  	-47.55
75:15.9     	13:04:40.9         	-54.43	21.87  	-47.39
75:16.8     	13:04:41.8         	-54.43	22.27  	-47.21
75:17.7     	13:04:42.7         	-54.45	22.70  	-47.35
75:18.6     	13:04:43.6         	-54.43	22.22  	-47.51
75:19.4     	13:04:44.4         	-54.37	21.61  	-47.78
75:20.4     	13:04:45.4         	-54.32	20.84  	-47.87
75:21.3     	13:04:46.3         	-54.30	20.63  	-47.79
75:22.2     	13:04:47.2         	-54.33	20.92  	-47.59
75:23.1     	13:04:48.1         	-54.35	21.48  	-47.29
75:24.0     	13:04:49.0         	-54.38	22.23  	-47.16
75:24.9     	13:04:49.9         	-54.40	22.55  	-47.06
75:25.8     	13:04:50.8         	-54.41	22.70  	-47.14
75:26.7     	13:04:51.7         	-54.41	22.43  	-47.24
75:27.5     	13:04:52.5         	-54.42	22.13  	-47.47
75:28.4     	13:04:53.4         	-54.41	21.52  	-47.64
75:29.3     	13:04:54.3         	-54.40	21.09  	-47.85
75:30.2     	13:04:55.2         	-54.40	20.62  	-47.81
75:31.1     	13:04:56.1         	-54.41	20.79  	-47.69
75:32.0     	13:04:57.0         	-54.43	21.17  	-47.44
75:32.9     	13:04:57.9         	-54.45	21.83  	-47.17
75:33.9     	13:04:58.9         	-54.49	22.55  	-47.14
75:34.8     	13:04:59.8         	-54.52	22.66  	-47.06
75:35.6     	13:05:00.6         	-54.53	22.82  	-47.25
75:36.5     	13:05:01.5         	-54.56	22.35  	-47.54
75:37.4     	13:05:02.4         	-54.57	21.65  	-47.64
75:38.3     	13:05:03.3         	-54.57	21.40  	-47.83
75:39.2     	13:05:04.2         	-54.55	20.88  	-48.00
75:40.1     	13:05:05.1         	-54.51	20.39  	-48.22
75:41.0     	13:05:06.0         	-54.49	19.82  	-48.45
75:41.9     	13:05:06.9         	-54.47	19.33  	-48.57
75:42.8     	13:05:07.8         	-54.50	19.19  	-48.56
75:43.6     	13:05:08.6         	-54.59	19.45  	-48.37
75:44.5     	13:05:09.5         	-54.63	20.00  	-48.23
75:45.4     	13:05:10.4         	-54.66	20.38  	-48.08
75:46.3     	13:05:11.3         	-54.67	20.72  	-47.90
75:47.2     	13:05:12.2         	-54.67	21.11  	-47.73
75:48.2     	13:05:13.2         	-54.67	21.45  	-47.74
75:49.1     	13:05:14.1         	-54.67	21.33  	-47.86
75:50.0     	13:05:15.0         	-54.64	20.87  	-48.12
75:50.9     	13:05:15.9         	-54.64	20.27  	-48.30
75:51.7     	13:05:16.7         	-54.70	20.01  	-48.23
75:52.7     	13:05:17.7         	-54.79	20.42  	-48.02
75:53.6     	13:05:18.6         	-54.85	21.03  	-47.82
75:54.4     	13:05:19.4         	-54.86	21.45  	-48.00
75:55.3     	13:05:20.3         	-54.86	20.91  	-48.35
75:56.2     	13:05:21.2         	-54.82	20.01  	-48.55
75:57.1     	13:05:22.1         	-54.82	19.56  	-48.77
75:58.0     	13:05:23.0         	-54.82	19.13  	-48.89
75:58.9     	13:05:23.9         	-54.83	18.92  	-49.08
75:59.7     	13:05:24.7         	-54.86	18.60  	-49.22
76:00.6     	13:05:25.6         	-54.88	18.39  	-49.34
76:01.5     	13:05:26.5         	-54.92	18.25  	-49.47
76:02.5     	13:05:27.5         	-54.94	18.06  	-49.44
76:03.4     	13:05:28.4         	-54.96	18.22  	-49.38
76:04.3     	13:05:29.3         	-55.01	18.29  	-49.38
76:05.2     	13:05:30.2         	-55.04	18.66  	-49.12
76:06.1     	13:05:31.1         	-55.10	19.38  	-48.92
76:07.0     	13:05:32.0         	-55.18	20.03  	-48.85
76:07.8     	13:05:32.8         	-55.30	20.78  	-48.85
76:08.7     	13:05:33.7         	-55.24	20.20  	-49.03
76:09.7     	13:05:34.7         	-55.26	19.86  	-49.01
76:10.5     	13:05:35.5         	-55.36	20.07  	-48.70
76:11.4     	13:05:36.4         	-55.36	20.92  	-48.58
76:12.3     	13:05:37.3         	-55.40	21.21  	-48.76
76:13.2     	13:05:38.2         	-55.38	20.62  	-49.16
76:14.1     	13:05:39.1         	-55.34	19.61  	-49.39
76:15.0     	13:05:40.0         	-55.35	19.16  	-49.42
76:15.8     	13:05:40.8         	-55.40	19.29  	-49.21
76:16.9     	13:05:41.9         	-55.46	19.94  	-49.00
76:17.8     	13:05:42.8         	-55.52	20.57  	-49.10
76:18.6     	13:05:43.6         	-55.51	20.28  	-49.24
76:19.5     	13:05:44.5         	-55.49	19.90  	-49.45
76:20.4     	13:05:45.4         	-55.51	19.54  	-49.39
76:21.3     	13:05:46.3         	-55.54	19.84  	-49.24
76:22.2     	13:05:47.2         	-55.58	21.11  	-48.95
76:23.1     	13:05:48.1         	-55.60	21.11  	-48.62
76:23.9     	13:05:48.9         	-55.65	21.97  	-48.50
76:24.9     	13:05:49.9         	-55.69	22.36  	-48.25
76:25.8     	13:05:50.8         	-55.72	22.96  	-48.22
76:26.6     	13:05:51.6         	-55.77	23.10  	-48.27
76:27.5     	13:05:52.5         	-55.81	22.98  	-48.43
76:28.4     	13:05:53.4         	-55.85	22.63  	-48.41
76:29.3     	13:05:54.3         	-55.87	22.74  	-48.48
76:30.3     	13:05:55.3         	-55.90	22.58  	-48.61
76:31.2     	13:05:56.2         	-55.91	22.30  	-48.66
76:32.1     	13:05:57.1         	-55.92	22.25  	-48.55
76:33.0     	13:05:58.0         	-55.89	22.47  	-48.34
76:33.9     	13:05:58.9         	-55.84	22.81  	-48.33
76:35.4     	13:06:00.4         	-55.53	23.16  	-48.32
76:35.6     	13:06:00.6         	-55.53	23.16  	-48.32
76:36.5     	13:06:01.5         	-55.63	20.71  	-49.35
76:37.4     	13:06:02.4         	-55.62	19.69  	-49.39
76:38.3     	13:06:03.3         	-55.66	19.75  	-49.21
76:39.2     	13:06:04.2         	-55.68	20.30  	-48.91
76:40.1     	13:06:05.1         	-55.67	20.90  	-49.01
76:41.0     	13:06:06.0         	-55.61	20.48  	-49.19
76:41.9     	13:06:06.9         	-55.54	19.92  	-49.33
76:42.7     	13:06:07.7         	-55.49	19.50  	-49.49
76:43.7     	13:06:08.7         	-55.43	19.03  	-49.52
76:44.6     	13:06:09.6         	-55.41	18.89  	-49.67
76:45.5     	13:06:10.5         	-55.41	18.58  	-49.71
76:46.4     	13:06:11.4         	-55.42	18.51  	-49.74
76:47.3     	13:06:12.3         	-55.42	18.45  	-49.71
76:48.2     	13:06:13.2         	-55.39	18.39  	-49.73
76:49.1     	13:06:14.1         	-55.35	18.17  	-49.83
76:50.0     	13:06:15.0         	-55.28	17.78  	-49.81
76:50.8     	13:06:15.8         	-55.24	17.66  	-49.86
76:51.7     	13:06:16.7         	-55.21	17.44  	-49.90
76:52.6     	13:06:17.6         	-55.17	17.21  	-50.00
76:53.5     	13:06:18.5         	-55.13	16.90  	-50.01
76:54.4     	13:06:19.4         	-55.12	16.82  	-50.03
76:55.3     	13:06:20.3         	-55.13	16.79  	-49.91
76:56.3     	13:06:21.3         	-55.16	17.07  	-49.77
76:57.2     	13:06:22.2         	-55.20	17.42  	-49.55
76:58.1     	13:06:23.1         	-55.22	17.88  	-49.27
76:58.9     	13:06:23.9         	-55.24	18.38  	-49.19
76:59.8     	13:06:24.8         	-55.28	18.55  	-49.17
77:00.7     	13:06:25.7         	-55.31	18.53  	-49.28
77:01.6     	13:06:26.6         	-55.34	18.25  	-49.48
77:02.5     	13:06:27.5         	-55.33	17.74  	-49.59
77:03.4     	13:06:28.4         	-55.31	17.38  	-49.80
77:04.3     	13:06:29.3         	-55.29	16.89  	-49.93
77:05.2     	13:06:30.2         	-55.30	16.62  	-50.05
77:06.1     	13:06:31.1         	-55.31	16.42  	-49.97
77:06.9     	13:06:31.9         	-55.31	16.55  	-49.88
77:07.8     	13:06:32.8         	-55.26	16.65  	-49.56
77:08.8     	13:06:33.8         	-55.20	17.10  	-49.37
77:09.6     	13:06:34.6         	-55.13	17.30  	-49.20
77:10.6     	13:06:35.6         	-55.07	17.40  	-49.28
77:11.5     	13:06:36.5         	-54.97	16.91  	-49.49
77:12.4     	13:06:37.4         	-54.85	16.25  	-49.61
77:13.3     	13:06:38.3         	-54.78	15.89  	-49.70
77:14.2     	13:06:39.2         	-54.77	15.72  	-49.47
77:15.0     	13:06:40.0         	-54.76	16.14  	-49.06
77:16.0     	13:06:41.0         	-54.79	16.90  	-48.89
77:16.9     	13:06:41.9         	-54.82	17.23  	-48.67
77:17.7     	13:06:42.7         	-54.84	17.63  	-48.59
77:18.6     	13:06:43.6         	-54.88	17.74  	-48.68
77:19.5     	13:06:44.5         	-54.90	17.52  	-48.84
77:20.4     	13:06:45.4         	-54.86	17.02  	-49.10
77:21.3     	13:06:46.3         	-54.83	16.39  	-49.40
77:22.2     	13:06:47.2         	-54.80	15.72  	-49.64
77:23.1     	13:06:48.1         	-54.79	15.26  	-49.89
77:24.0     	13:06:49.0         	-54.82	15.06  	-49.91
77:25.0     	13:06:50.0         	-54.85	14.94  	-49.80
77:25.8     	13:06:50.8         	-54.91	15.23  	-49.59
77:26.7     	13:06:51.7         	-54.93	15.66  	-49.36
77:27.6     	13:06:52.6         	-54.97	16.11  	-49.33
77:28.5     	13:06:53.5         	-54.98	16.15  	-49.26
77:29.4     	13:06:54.4         	-55.01	16.28  	-49.20
77:30.3     	13:06:55.3         	-55.01	16.34  	-49.15
77:31.2     	13:06:56.2         	-55.03	16.41  	-49.19
77:32.1     	13:06:57.1         	-55.03	16.30  	-49.22
77:33.0     	13:06:58.0         	-55.04	16.18  	-49.41
77:33.8     	13:06:58.8         	-55.07	15.81  	-49.52
77:34.7     	13:06:59.7         	-55.07	15.57  	-49.83
77:35.6     	13:07:00.6         	-55.06	14.96  	-50.10
77:36.5     	13:07:01.5         	-55.02	14.40  	-50.26
77:37.4     	13:07:02.4         	-54.98	14.05  	-50.40
77:38.3     	13:07:03.3         	-54.98	13.75  	-50.49
77:39.3     	13:07:04.3         	-54.95	13.57  	-50.60
77:40.2     	13:07:05.2         	-55.00	13.47  	-50.62
77:41.1     	13:07:06.1         	-55.09	13.58  	-50.45
77:41.9     	13:07:06.9         	-55.18	13.98  	-50.25
77:42.8     	13:07:07.8         	-55.23	14.37  	-50.02
77:43.7     	13:07:08.7         	-55.24	14.71  	-49.90
77:44.6     	13:07:09.6         	-55.22	14.78  	-50.01
77:45.5     	13:07:10.5         	-55.19	14.43  	-50.32
77:46.4     	13:07:11.4         	-55.15	13.76  	-50.66
77:47.3     	13:07:12.3         	-55.11	13.13  	-50.87
77:48.2     	13:07:13.2         	-55.14	12.86  	-50.93
77:49.1     	13:07:14.1         	-55.25	12.95  	-50.52
77:49.9     	13:07:14.9         	-55.29	13.54  	-50.52
77:50.8     	13:07:15.8         	-55.25	13.37  	-50.74
77:51.8     	13:07:16.8         	-55.20	12.93  	-50.83
77:52.7     	13:07:17.7         	-55.28	12.88  	-50.59
77:53.6     	13:07:18.6         	-55.32	13.26  	-50.36
77:54.5     	13:07:19.5         	-55.29	13.43  	-50.46
77:55.4     	13:07:20.4         	-55.22	13.05  	-50.73
77:56.3     	13:07:21.3         	-55.19	12.53  	-50.87
77:57.2     	13:07:22.2         	-55.27	12.41  	-50.62
77:58.0     	13:07:23.0         	-55.32	12.81  	-50.36
77:59.0     	13:07:24.0         	-55.31	13.04  	-50.72
77:59.9     	13:07:24.9         	-55.28	12.37  	-50.99
78:00.7     	13:07:25.7         	-55.30	11.98  	-51.00
78:01.6     	13:07:26.6         	-55.38	12.06  	-50.77
78:02.5     	13:07:27.5         	-55.40	12.32  	-50.67
78:03.4     	13:07:28.4         	-55.37	12.30  	-50.85
78:04.3     	13:07:29.3         	-55.27	11.80  	-51.09
78:05.3     	13:07:30.3         	-55.25	11.39  	-51.14
78:06.1     	13:07:31.1         	-55.26	11.27  	-51.11
78:07.1     	13:07:32.1         	-55.27	11.27  	-50.91
78:08.0     	13:07:33.0         	-55.24	11.42  	-50.73
78:08.8     	13:07:33.8         	-55.21	11.57  	-50.46
78:09.7     	13:07:34.7         	-55.18	11.78  	-50.47
78:10.6     	13:07:35.6         	-55.16	11.60  	-50.69
78:11.5     	13:07:36.5         	-55.10	11.13  	-50.93
78:12.4     	13:07:37.4         	-55.08	10.73  	-51.17
78:13.3     	13:07:38.3         	-55.08	10.38  	-51.40
78:14.2     	13:07:39.2         	-55.09	10.05  	-51.58
78:15.1     	13:07:40.1         	-55.09	9.72   	-51.77
78:15.3     	13:07:40.3         	-55.09	9.72   	-51.77
78:16.0     	13:07:41.0         	-55.09	9.72   	-51.63
78:16.8     	13:07:41.8         	-55.13	9.76   	-51.29
78:17.8     	13:07:42.8         	-55.18	10.18  	-51.00
78:18.7     	13:07:43.7         	-55.20	10.49  	-50.83
78:19.6     	13:07:44.6         	-55.24	10.68  	-50.69
78:20.5     	13:07:45.5         	-55.24	10.82  	-50.57
78:21.4     	13:07:46.4         	-55.24	10.89  	-50.49
78:22.3     	13:07:47.3         	-55.24	10.91  	-50.39
78:23.2     	13:07:48.2         	-55.23	10.95  	-50.44
78:24.1     	13:07:49.1         	-55.21	10.75  	-50.73
78:24.9     	13:07:49.9         	-55.13	10.19  	-51.03
78:25.8     	13:07:50.8         	-55.03	9.66   	-51.24
78:26.7     	13:07:51.7         	-55.01	9.38   	-51.17
78:27.6     	13:07:52.6         	-54.99	9.43   	-50.88
78:28.5     	13:07:53.5         	-54.99	9.70   	-50.69
78:29.4     	13:07:54.4         	-54.98	9.84   	-50.64
78:30.3     	13:07:55.3         	-54.97	9.80   	-50.90
78:31.2     	13:07:56.2         	-54.93	9.37   	-51.16
78:32.2     	13:07:57.2         	-54.84	8.95   	-51.38
78:33.1     	13:07:58.1         	-54.90	8.71   	-51.41
78:33.9     	13:07:58.9         	-54.90	8.72   	-51.11
78:34.8     	13:07:59.8         	-54.97	9.06   	-50.94
78:35.7     	13:08:00.7         	-55.02	9.26   	-50.91
78:36.6     	13:08:01.6         	-55.04	9.24   	-51.02
78:37.5     	13:08:02.5         	-55.05	9.07   	-51.17
78:38.4     	13:08:03.4         	-55.01	8.83   	-51.41
78:39.3     	13:08:04.3         	-54.98	8.49   	-51.68
78:40.2     	13:08:05.2         	-54.95	7.92   	-51.87
78:41.1     	13:08:06.1         	-54.93	7.92   	-52.06
78:41.9     	13:08:06.9         	-54.91	7.70   	-52.26
78:42.8     	13:08:07.8         	-54.92	7.50   	-52.43
78:43.7     	13:08:08.7         	-54.94	7.37   	-52.43
78:44.7     	13:08:09.7         	-54.98	7.41   	-52.35
78:45.6     	13:08:10.6         	-55.03	7.51   	-52.11
78:46.5     	13:08:11.5         	-55.06	7.75   	-51.84
78:47.4     	13:08:12.4         	-55.09	8.02   	-51.56
78:48.3     	13:08:13.3         	-55.10	8.27   	-51.28
78:49.2     	13:08:14.2         	-55.09	8.23   	-51.36
78:50.0     	13:08:15.0         	-55.08	8.36   	-51.48
78:50.9     	13:08:15.9         	-55.07	8.18   	-51.68
78:51.8     	13:08:16.8         	-55.04	7.91   	-51.83
78:52.7     	13:08:17.7         	-54.96	7.49   	-51.97
78:53.6     	13:08:18.6         	-54.96	7.49   	-52.05
78:54.5     	13:08:19.5         	-54.96	7.44   	-51.78
78:55.4     	13:08:20.4         	-54.97	7.68   	-51.43
78:56.3     	13:08:21.3         	-54.99	7.97   	-51.48
78:57.2     	13:08:22.2         	-54.95	7.87   	-51.72
78:58.1     	13:08:23.1         	-54.96	7.55   	-51.92
78:59.0     	13:08:24.0         	-54.96	7.37   	-51.92
78:59.9     	13:08:24.9         	-55.00	7.42   	-51.62
79:00.8     	13:08:25.8         	-55.04	7.70   	-51.41
79:01.7     	13:08:26.7         	-55.09	7.90   	-51.42
79:02.6     	13:08:27.6         	-55.08	7.82   	-51.69
79:03.5     	13:08:28.5         	-55.04	7.49   	-51.96
79:04.4     	13:08:29.4         	-55.03	7.23   	-51.94
79:05.3     	13:08:30.3         	-55.06	7.29   	-51.78
79:06.1     	13:08:31.1         	-55.14	7.48   	-51.50
79:07.0     	13:08:32.0         	-55.22	7.78   	-51.31
79:07.9     	13:08:32.9         	-55.28	7.98   	-51.17
79:08.8     	13:08:33.8         	-55.29	8.08   	-51.25
79:09.7     	13:08:34.7         	-55.29	7.94   	-51.47
79:10.6     	13:08:35.6         	-55.27	7.67   	-51.78
79:11.6     	13:08:36.6         	-55.27	7.37   	-51.99
79:12.5     	13:08:37.5         	-55.28	7.18   	-52.17
79:13.4     	13:08:38.4         	-55.31	7.05   	-52.27
79:14.2     	13:08:39.2         	-55.34	6.98   	-52.35
79:15.1     	13:08:40.1         	-55.38	6.93   	-52.41
79:16.1     	13:08:41.1         	-55.39	6.89   	-52.47
79:16.9     	13:08:41.9         	-55.41	6.84   	-52.54
79:17.8     	13:08:42.8         	-55.41	6.78   	-52.55
79:18.7     	13:08:43.7         	-55.37	6.74   	-52.58
79:19.6     	13:08:44.6         	-55.39	6.72   	-52.62
79:20.5     	13:08:45.5         	-55.40	6.69   	-52.59
79:21.4     	13:08:46.4         	-55.40	6.71   	-52.58
79:22.2     	13:08:47.2         	-55.41	6.72   	-52.60
79:23.2     	13:08:48.2         	-55.41	6.69   	-52.72
79:24.1     	13:08:49.1         	-55.44	6.63   	-52.73
79:25.0     	13:08:50.0         	-55.54	6.72   	-52.49
79:25.9     	13:08:50.9         	-55.64	7.01   	-52.12
79:26.8     	13:08:51.8         	-55.70	7.38   	-51.85
79:27.7     	13:08:52.7         	-55.73	7.63   	-51.72
79:28.6     	13:08:53.6         	-55.75	7.75   	-51.75
79:29.5     	13:08:54.5         	-55.73	7.68   	-51.81
79:30.3     	13:08:55.3         	-55.71	7.59   	-51.89
79:31.2     	13:08:56.2         	-55.69	7.47   	-51.92
79:32.2     	13:08:57.2         	-55.66	7.39   	-52.01
79:33.0     	13:08:58.0         	-55.64	7.28   	-52.08
79:33.9     	13:08:58.9         	-55.64	7.21   	-52.02
79:34.8     	13:08:59.8         	-55.64	7.25   	-51.97
79:35.7     	13:09:00.7         	-55.67	7.31   	-51.81
79:36.6     	13:09:01.6         	-55.67	7.44   	-51.59
79:37.6     	13:09:02.6         	-55.68	7.62   	-51.49
79:38.4     	13:09:03.4         	-55.67	7.68   	-51.32
79:39.4     	13:09:04.4         	-55.64	7.76   	-51.45
79:40.3     	13:09:05.3         	-55.61	7.58   	-51.57
79:41.1     	13:09:06.1         	-55.57	7.40   	-51.74
79:42.0     	13:09:07.0         	-55.55	7.20   	-51.95
79:42.9     	13:09:07.9         	-55.52	6.97   	-52.25
79:43.8     	13:09:08.8         	-55.54	6.74   	-52.45
79:44.7     	13:09:09.7         	-55.58	6.61   	-52.50
79:45.6     	13:09:10.6         	-55.66	6.63   	-52.38
79:46.5     	13:09:11.5         	-55.76	6.80   	-52.07
79:47.4     	13:09:12.4         	-55.81	7.08   	-51.91
79:48.3     	13:09:13.3         	-55.83	7.19   	-51.99
79:49.1     	13:09:14.1         	-55.79	7.05   	-52.14
79:50.0     	13:09:15.0         	-55.76	6.86   	-52.39
79:50.9     	13:09:15.9         	-55.74	6.62   	-52.60
79:51.9     	13:09:16.9         	-55.73	6.45   	-52.73
79:52.8     	13:09:17.8         	-55.80	6.40   	-52.61
79:53.7     	13:09:18.7         	-55.87	6.55   	-52.25
79:54.6     	13:09:19.6         	-55.90	6.83   	-52.09
79:55.5     	13:09:20.5         	-55.90	6.91   	-52.28
79:56.4     	13:09:21.4         	-55.84	6.67   	-52.57
79:57.2     	13:09:22.2         	-55.82	6.42   	-52.79
79:58.1     	13:09:23.1         	-55.87	6.29   	-52.73
79:59.0     	13:09:24.0         	-55.97	6.40   	-52.48
79:59.9     	13:09:24.9         	-56.03	6.61   	-52.45
80:00.8     	13:09:25.8         	-56.01	6.58   	-52.63
80:01.7     	13:09:26.7         	-55.96	6.36   	-52.94
80:02.6     	13:09:27.6         	-55.89	6.05   	-53.19
80:03.5     	13:09:28.5         	-55.83	5.84   	-53.32
80:04.5     	13:09:29.5         	-55.82	5.73   	-53.31
80:05.3     	13:09:30.3         	-55.83	5.74   	-53.17
80:06.2     	13:09:31.2         	-55.89	5.88   	-52.85
80:07.1     	13:09:32.1         	-55.90	6.10   	-52.67
80:08.0     	13:09:33.0         	-55.87	6.19   	-52.71
80:08.9     	13:09:33.9         	-55.84	6.12   	-52.68
80:09.8     	13:09:34.8         	-55.81	6.14   	-52.42
80:10.7     	13:09:35.7         	-55.81	6.31   	-52.40
80:11.6     	13:09:36.6         	-55.75	6.23   	-52.65
80:12.5     	13:09:37.5         	-55.62	5.93   	-52.78
80:13.3     	13:09:38.3         	-55.56	5.82   	-52.46
80:14.2     	13:09:39.2         	-55.54	6.02   	-52.27
80:15.1     	13:09:40.1         	-55.50	6.08   	-52.44
80:16.0     	13:09:41.0         	-55.38	5.85   	-52.65
80:16.9     	13:09:41.9         	-55.36	5.69   	-52.49
80:17.8     	13:09:42.8         	-55.39	5.83   	-52.15
80:18.7     	13:09:43.7         	-55.43	6.07   	-52.18
80:19.7     	13:09:44.7         	-55.40	5.98   	-52.42
80:20.6     	13:09:45.6         	-55.35	5.75   	-52.58
80:21.4     	13:09:46.4         	-55.34	5.65   	-52.37
80:22.4     	13:09:47.4         	-55.40	5.80   	-52.08
80:23.3     	13:09:48.3         	-55.40	6.01   	-52.19
80:24.1     	13:09:49.1         	-55.38	5.87   	-52.43
80:25.0     	13:09:50.0         	-55.30	5.62   	-52.68
80:25.9     	13:09:50.9         	-55.25	5.42   	-52.80
80:26.8     	13:09:51.8         	-55.23	5.32   	-52.73
80:27.7     	13:09:52.7         	-55.23	5.37   	-52.50
80:28.6     	13:09:53.6         	-55.24	5.53   	-52.15
80:29.4     	13:09:54.4         	-55.25	5.76   	-51.96
80:30.3     	13:09:55.3         	-55.28	5.87   	-52.13
80:31.2     	13:09:56.2         	-55.23	5.67   	-52.36
80:32.1     	13:09:57.1         	-55.17	5.47   	-52.47
80:33.1     	13:09:58.1         	-55.16	5.39   	-52.30
80:34.0     	13:09:59.0         	-55.19	5.50   	-52.13
80:34.9     	13:09:59.9         	-55.19	5.61   	-51.83
80:35.8     	13:10:00.8         	-55.15	5.76   	-51.52
80:36.7     	13:10:01.7         	-55.09	5.92   	-51.42
80:37.5     	13:10:02.5         	-55.01	5.92   	-51.27
80:38.5     	13:10:03.5         	-54.93	5.94   	-51.29
80:39.4     	13:10:04.4         	-54.87	5.86   	-51.46
80:40.2     	13:10:05.2         	-54.77	5.67   	-51.68
80:41.1     	13:10:06.1         	-54.74	5.52   	-51.75
80:42.0     	13:10:07.0         	-54.79	5.52   	-51.54
80:42.9     	13:10:07.9         	-54.83	5.69   	-51.39
80:43.8     	13:10:08.8         	-54.81	5.75   	-51.46
80:44.7     	13:10:09.7         	-54.75	5.63   	-51.70
80:45.5     	13:10:10.5         	-54.72	5.45   	-51.85
80:46.5     	13:10:11.5         	-54.77	5.38   	-51.78
80:47.5     	13:10:12.5         	-54.81	5.44   	-51.59
80:48.3     	13:10:13.3         	-54.77	5.50   	-51.65
80:49.2     	13:10:14.2         	-54.70	5.37   	-51.93
80:50.1     	13:10:15.1         	-54.69	5.19   	-51.93
80:51.0     	13:10:16.0         	-54.73	5.21   	-51.75
80:51.9     	13:10:16.9         	-54.73	5.31   	-51.49
80:52.8     	13:10:17.8         	-54.67	5.40   	-51.45
